code	name	municipality	population	lat	lon
0100820	Alabaster	01117	34748	33.214355	-86.82308
0102956	Athens	01083	34209	34.782731	-86.951098
0103076	Auburn	01081	85113	32.607122	-85.490959
0107000	Birmingham	01073	195893	33.527174	-86.797036
0119648	Daphne	01003	31396	30.631318	-87.880088
0120104	Decatur	01103	58056	34.572995	-86.989901
0121184	Dothan	01069	72060	31.233698	-85.406823
0124184	Enterprise	01031	31211	31.325529	-85.846071
0125240	Fairhope	01003	26625	30.518973	-87.879177
0126896	Florence	01077	42581	34.82981	-87.662202
0126992	Foley	01003	30354	30.397071	-87.668458
0128696	Gadsden	01055	33367	34.006597	-86.016078
0135800	Homewood	01073	28118	33.45855	-86.80965
0135896	Hoover	01073	93550	33.375128	-86.809416
0137000	Huntsville	01089	233627	34.68874	-86.675075
0145784	Madison	01089	67968	34.710533	-86.76228
0150000	Mobile	01097	200824	30.668246	-88.107853
0151000	Montgomery	01101	195300	32.346251	-86.268593
0155200	Northport	01125	31648	33.25757	-87.596396
0157048	Opelika	01081	35765	32.660739	-85.37889
0158848	Pelham	01117	25664	33.331186	-86.730643
0159472	Phenix City	01113	38344	32.453878	-85.030947
0162328	Prattville	01001	40582	32.459935	-86.457778
0176944	Trussville	01073	27273	33.655338	-86.563001
0177256	Tuscaloosa	01125	114316	33.234404	-87.5283
0178552	Vestavia Hills	01073	38306	33.462742	-86.739569
0203000	Anchorage	02020	287155	61.17425	-149.284329
0224230	Fairbanks	02090	31468	64.838559	-147.651483
0236400	Juneau	02110	31609	58.372904	-134.178438
0402830	Apache Junction	04021	45672	33.382718	-111.540534
0404720	Avondale	04013	100983	33.313646	-112.331314
0407940	Buckeye	04013	125445	33.431573	-112.641626
0408220	Bullhead City	04015	43987	35.127371	-114.55599
0410530	Casa Grande	04021	69753	32.905527	-111.763948
0412000	Chandler	04013	278748	33.282765	-111.851819
0422220	El Mirage	04013	35820	33.590224	-112.327102
0423620	Flagstaff	04005	77260	35.186367	-111.620367
0423760	Florence	04021	25222	33.069415	-111.413993
0427400	Gilbert	04013	287285	33.312996	-111.742422
0427820	Glendale	04013	260572	33.533111	-112.189901
0428380	Goodyear	04013	125359	33.254031	-112.366472
0437620	Kingman	04015	35829	35.216992	-114.010529
0439370	Lake Havasu City	04015	59358	34.499809	-114.310943
0444270	Marana	04019	65523	32.465842	-111.134697
0444410	Maricopa	04021	78362	33.041316	-112.005749
0446000	Mesa	04013	513656	33.399355	-111.715968
0451600	Oro Valley	04019	48085	32.420713	-110.977
0454050	Peoria	04013	200881	33.797498	-112.339284
0455000	Phoenix	04013	1665481	33.572154	-112.090132
0457380	Prescott	04025	48420	34.592172	-112.446649
0457450	Prescott Valley	04025	52423	34.59793	-112.318497
0458150	Queen Creek	04013	89770	33.239425	-111.613319
0462140	Sahuarita	04019	37694	31.932238	-110.965395
0463470	San Luis	04027	42030	32.485678	-114.721947
0465000	Scottsdale	04013	243006	33.684272	-111.861448
0466820	Sierra Vista	04003	44907	31.563875	-110.313192
0471510	Surprise	04013	175304	33.67078	-112.452637
0473000	Tempe	04013	190571	33.388414	-111.931782
0477000	Tucson	04019	548371	32.152831	-110.87075
0485540	Yuma	04027	105227	32.51144	-114.526787
0504840	Bella Vista	05007	34518	36.467297	-94.26557
0505290	Benton	05125	38898	34.577424	-92.572583
0505320	Bentonville	05007	63057	36.351851	-94.231767
0510300	Cabot	05085	27711	34.975106	-92.028288
0512820	Centerton	05007	27176	36.355148	-94.297692
0515190	Conway	05045	72328	35.074774	-92.467402
0523290	Fayetteville	05143	106623	36.071451	-94.166679
0524550	Fort Smith	05131	90855	35.349276	-94.370883
0533400	Hot Springs	05051	37979	34.489442	-93.050254
0534750	Jacksonville	05119	29460	34.877908	-92.131475
0535710	Jonesboro	05031	83296	35.819755	-90.679033
0541000	Little Rock	05119	206427	34.723218	-92.356264
0550450	North Little Rock	05119	65120	34.781752	-92.235057
0553390	Paragould	05055	31135	36.052188	-90.510541
0555310	Pine Bluff	05069	38213	34.211591	-92.017555
0560410	Rogers	05007	76956	36.318085	-94.152287
0561670	Russellville	05115	29521	35.276876	-93.137515
0563800	Sherwood	05119	33620	34.852029	-92.204483
0566080	Springdale	05143	90685	36.191438	-94.155062
0568810	Texarkana	05091	29123	33.436339	-93.987118
0600296	Adelanto	06071	38798	34.582286	-117.439448
0600562	Alameda	06001	76876	37.74229	-122.2605
