code	name	region	population
25023	Plymouth County	MA	546829
25025	Suffolk County	MA	791891
25027	Worcester County	MA	888502
26017	Bay County	MI	102123
26025	Calhoun County	MI	133408
26049	Genesee County	MI	401093
26065	Ingham County	MI	289709
26075	Jackson County	MI	159552
26077	Kalamazoo County	MI	263795
26081	Kent County	MI	675232
26099	Macomb County	MI	886221
26111	Midland County	MI	83754
26121	Muskegon County	MI	177901
26125	Oakland County	MI	1288337
26139	Ottawa County	MI	308459
26145	Saginaw County	MI	187688
26147	St. Clair County	MI	160486
26161	Washtenaw County	MI	370214
26163	Wayne County	MI	1769038
27003	Anoka County	MN	381605
27013	Blue Earth County	MN	70634
27019	Carver County	MN	114379
27027	Clay County	MN	67734
27037	Dakota County	MN	457710
27053	Hennepin County	MN	1284784
27099	Mower County	MN	40971
27109	Olmsted County	MN	166731
27123	Ramsey County	MN	541623
27131	Rice County	MN	69939
27137	St. Louis County	MN	200518
27139	Scott County	MN	159017
27141	Sherburne County	MN	104194
27145	Stearns County	MN	164110
27147	Steele County	MN	37464
27163	Washington County	MN	286895
27169	Winona County	MN	50523
28033	DeSoto County	MS	197918
28035	Forrest County	MS	79034
28047	Harrison County	MS	217136
28049	Hinds County	MS	211888
28071	Lafayette County	MS	59597
28075	Lauderdale County	MS	70317
28081	Lee County	MS	83731
28089	Madison County	MS	116298
28105	Oktibbeha County	MS	51896
28121	Rankin County	MS	162181
28151	Washington County	MS	40446
29019	Boone County	MO	191746
29021	Buchanan County	MO	83540
29031	Cape Girardeau County	MO	83999
29037	Cass County	MO	115859
29043	Christian County	MO	96725
29047	Clay County	MO	265032
29051	Cole County	MO	77908
29077	Greene County	MO	309286
29095	Jackson County	MO	732994
29097	Jasper County	MO	127428
29183	St. Charles County	MO	426499
29189	St. Louis County	MO	990911
29510	St. Louis city	MO	278144
30013	Cascade County	MT	85029
30029	Flathead County	MT	115429
30031	Gallatin County	MT	128740
30049	Lewis and Clark County	MT	75331
30063	Missoula County	MT	123513
30093	Silver Bow County	MT	36118
30111	Yellowstone County	MT	172692
31001	Adams County	NE	31071
31019	Buffalo County	NE	51172
31053	Dodge County	NE	38057
31055	Douglas County	NE	606460
31079	Hall County	NE	63633
31109	Lancaster County	NE	334049
31119	Madison County	NE	36106
31141	Platte County	NE	35649
31153	Sarpy County	NE	208303
32003	Clark County	NV	2407226
32019	Lyon County	NV	65088
32031	Washoe County	NV	509386
32510	Carson City	NV	58571
33011	Hillsborough County	NH	433415
33013	Merrimack County	NH	158078
33017	Strafford County	NH	135043
34001	Atlantic County	NJ	278657
34003	Bergen County	NJ	977026
34007	Camden County	NJ	535799
34011	Cumberland County	NJ	157148
34013	Essex County	NJ	896379
34017	Hudson County	NJ	735033
34021	Mercer County	NJ	399289
34023	Middlesex County	NJ	883335
34025	Monmouth County	NJ	651035
34031	Passaic County	NJ	531624
34039	Union County	NJ	601863
35001	Bernalillo County	NM	667601
35005	Chaves County	NM	63364
35009	Curry County	NM	46655
35013	Doña Ana County	NM	229091
35015	Eddy County	NM	62509
35025	Lea County	NM	74749
35035	Otero County	NM	70368
35043	Sandoval County	NM	159565
35045	San Juan County	NM	120340
35049	Santa Fe County	NM	156907
36001	Albany County	NY	321225
36007	Broome County	NY	195736
36011	Cayuga County	NY	74365
36013	Chautauqua County	NY	124126
36015	Chemung County	NY	80415
36027	Dutchess County	NY	300708
36029	Erie County	NY	946741
36047	Kings County	NY	2653963
36055	Monroe County	NY	750506
36059	Nassau County	NY	1398939
36063	Niagara County	NY	208912
36065	Oneida County	NY	226392
36067	Onondaga County	NY	466584
36071	Orange County	NY	417669
36083	Rensselaer County	NY	160510
36091	Saratoga County	NY	241343
36093	Schenectady County	NY	162581
36103	Suffolk County	NY	1546090
36109	Tompkins County	NY	104047
36119	Westchester County	NY	1015743
37001	Alamance County	NC	186177
37019	Brunswick County	NC	174702
37021	Buncombe County	NC	277417
37025	Cabarrus County	NC	249725
37035	Catawba County	NC	170172
37049	Craven County	NC	105025
37051	Cumberland County	NC	338473
37057	Davidson County	NC	180182
37063	Durham County	NC	347240
37067	Forsyth County	NC	401718
37071	Gaston County	NC	246558
